,sm_app_clock,application,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active
21,562,LAMMPS,0.986487619,0,0,0,0.13144381,0.171378571,0.066431905,0,23000266.98,14294013.61,97.62142857,21.24809524,20.86428571,96.73809524,67.34460381,585.215,11,0.237810476
22,562,LSTM,0.852991106,0,0,0,0.001755333,0,0.002515517,0,52026245.45,164040596.1,85.52658747,0,0,85.08663474,26.91499272,3246.634,123.5353908,0.002515517
23,562,NAMD,0.740852801,0,0,0,0.028000221,0.004610233,0.199178141,0,1674381549,675979247.2,46.84694441,2.857221792,2.371090728,46.32799204,47.91771754,5054.131,109.227524,0.203788374
24,570,LAMMPS,0.988966341,0,0,0,0.136522439,0.158880976,0.06526878,0,11328073.89,12862989.67,97.51902439,21.27170732,20.68926829,96.76829268,67.26055951,545.27,11,0.224149756
25,570,LSTM,0.844275488,0,0,0,0.001846489,0,0.002512029,0,53065325.95,167359637.7,84.86508453,0,0,84.46749025,27.05508231,3227.342,125.319984,0.002512029
26,570,NAMD,0.758627362,0,0,0,0.030156425,0.005065375,0.204223701,0,1846819329,745210290.3,47.01937478,2.921312255,2.458694877,46.63033401,48.80002567,5032.381,106.4188765,0.209289076
27,577,LAMMPS,0.995596429,0,0,0,0.132215306,0.172512245,0.06859898,0,16029485.69,25406545.75,97.97346939,22.08979592,21.84795918,97.25102041,69.48744745,536.904,11,0.241111225
28,577,LSTM,0.8055,0,0,0,0,0,0.0025,0,0,0,81.5,0,0,80.5,27.0595,14.613,124.2404531,0.0025
29,577,NAMD,0.733283984,0,0,0,0.029382501,0.005692996,0.199203142,0,1809731244,747688929.2,44.65568405,2.774056295,2.289221034,44.07113245,47.74531813,5160.854,110.3806575,0.204896138
30,585,LAMMPS,0.994504894,0,0,0,0.144046368,0.158561566,0.068780526,0,14167360.62,17540609.61,97.124678,22.14837713,21.65121072,96.28902628,69.53061824,579.312,11,0.227342092
31,585,LSTM,0.830454372,0,0,0,0.001786817,0,0.002408141,0,51467260.03,160518192.5,83.52175017,0,0,82.96291357,27.40942948,3295.537,122.850364,0.002408141
32,585,NAMD,0.729546667,0,0,0,0.027810794,0.004384656,0.199786032,0,1793116005,699694432.4,42.23925926,2.668359788,2.158095238,41.83470899,47.3396545,5378.532,105.093151,0.204170688
33,592,LAMMPS,0.980848469,0,0,0,0.13584898,0.161822449,0.066766327,0,33860819.55,98844214.14,97.75969388,22.27908163,21.70153061,96.88214286,69.64927959,538.611,11,0.228588776
34,592,LSTM,0.832053652,0,0,0,0.00199517,0,0.002479081,0,52705448.98,163481351.9,83.62293584,0,0,83.20533908,27.41372273,3247.404,122.0962056,0.002479081
35,592,NAMD,0.712075227,0,0,0,0.027379702,0.004932771,0.189831604,0,1667985406,647984699.1,42.59219628,2.685689581,2.197470817,42.14483355,47.33572601,5243.757,107.500381,0.194764375
36,600,LAMMPS,0.990178347,0,0,0,0.13726046,0.168164226,0.066929916,0,15194528.61,15104816.59,97.7165272,22.57949791,22.02719665,96.84309623,70.35312448,578.461,10.33333333,0.235094142
37,600,LSTM,0.811578384,0,0,0,0.00195991,0,0.002393457,0,53312354.91,168881682.1,81.28550353,0,0,80.86330981,27.64647255,3267.492,121.5777932,0.002393457
38,600,NAMD,0.706949681,0,0,0,0.029577704,0.005329302,0.198265404,0,1928768553,768411636.1,41.31914651,2.711204929,2.23950251,40.92822912,46.82229131,5064.604,101.8434445,0.203594706
39,607,LAMMPS,0.98433367,0,0,0,0.145253407,0.17898839,0.069227663,0,21779950.06,72992619.91,97.18273599,23.56587582,23.16860172,96.33568905,72.95431954,527.446,10,0.248216053
40,607,LSTM,0.773387479,0,0,0,0.00190181,0,0.002246296,0,50455936.82,154324271,77.43642215,0,0,76.94923488,27.28032068,3455.911,123.9083719,0.002246296
41,607,NAMD,0.668881454,0,0,0,0.027144537,0.004581912,0.180539574,0,1663087732,711714644.4,39.40573915,2.624015054,2.072327414,38.90403387,47.10319311,5266.304,107.45121,0.185121486
42,615,LAMMPS,0.989658166,0,0,0,0.144760716,0.173698318,0.070363538,0,16943050.47,16737871.32,97.29354314,23.55832881,23.17362995,96.32664135,73.09489582,526.6,10.33333333,0.244061856
43,615,LSTM,0.774697767,0,0,0,0.001949628,0,0.002267171,0,50570803.17,154564048.7,77.73402978,0,0,77.20569164,27.41648169,3409.131,123.2383392,0.002267171
44,615,NAMD,0.679910413,0,0,0,0.027998153,0.004523089,0.184769684,0,1690424556,691796033.3,38.82659894,2.600092357,2.145693835,38.3780882,46.252,5282.787,101.0819055,0.189292773
